year,election,wilaya,moughataa,commune,candidate,registered_voters,nb_null_votes,nb_neutral_votes,nb_votes
2023,Législatives nationales,Nouakchott Ouest,Sebkha,Sebkha,Rassemblement des Forces Démocratiques (RFD),27416,3019,505,194
2023,Législatives nationales,Nouakchott Ouest,Sebkha,Sebkha,Sursaut de la Jeunesse pour la Nation (SJN),27416,3019,505,99
2023,Législatives nationales,Nouakchott Ouest,Sebkha,Sebkha,Union des Forces de Progrès (UFP),27416,3019,505,399
2023,Législatives nationales,Nouakchott Ouest,Sebkha,Sebkha,Union pour la Démocratie et le Progrès (UDP),27416,3019,505,1236
2023,Législatives nationales,Nouakchott Ouest,Sebkha,Sebkha,Union pour la Planification et la Construction (UPC),27416,3019,505,226
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Alliance Populaire Progressiste (APP),71588,5818,1318,365
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),71588,5818,1318,636
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,NIDA ELWATAN (NIDA ELWATAN),71588,5818,1318,1776
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti Alliance Nationale Démocratique (AND),71588,5818,1318,804
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti EL INSAF,71588,5818,1318,9578
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti EL VADILA (EL VADILA),71588,5818,1318,427
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti El Karama (El Karama),71588,5818,1318,292
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),71588,5818,1318,1563
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti HIWAR,71588,5818,1318,270
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti Mauritanien pour l'Union et le Changement (HATEM),71588,5818,1318,899
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),71588,5818,1318,658
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti Républicain pour la Démocratie et le Renouveau (PRDR),71588,5818,1318,623
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti SAWAB (SAWAB),71588,5818,1318,1301
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti de la Construction et du Progrès (PCP),71588,5818,1318,443
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti de l’Unité et du Développement (PUD),71588,5818,1318,1196
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti des Masses Mauritaniennes (PMM),71588,5818,1318,1419
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti le centre par L’action et pour le Progres (LE CAP),71588,5818,1318,446
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti «El Islah» (El Islah),71588,5818,1318,2295
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Parti «Ravah» (RAVAH),71588,5818,1318,724
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Rassemblement National pour la Réforme et le Développement (Tewassoul),71588,5818,1318,4572
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Rassemblement des Forces Démocratiques (RFD),71588,5818,1318,1016
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Sursaut de la Jeunesse pour la Nation (SJN),71588,5818,1318,352
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Union des Forces de Progrès (UFP),71588,5818,1318,795
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Union pour la Démocratie et le Progrès (UDP),71588,5818,1318,447
2023,Législatives nationales,Nouakchott Ouest,Tevragh Zeina,Tevragh Zeina,Union pour la Planification et la Construction (UPC),71588,5818,1318,1491
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Alliance Populaire Progressiste (APP),57665,4717,895,562
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),57665,4717,895,500
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,NIDA ELWATAN (NIDA ELWATAN),57665,4717,895,594
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti Alliance Nationale Démocratique (AND),57665,4717,895,707
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti EL INSAF,57665,4717,895,11957
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti EL VADILA (EL VADILA),57665,4717,895,303
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti El Karama (El Karama),57665,4717,895,622
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),57665,4717,895,989
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti HIWAR,57665,4717,895,393
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti Mauritanien pour l'Union et le Changement (HATEM),57665,4717,895,1815
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),57665,4717,895,362
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti Républicain pour la Démocratie et le Renouveau (PRDR),57665,4717,895,335
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti SAWAB (SAWAB),57665,4717,895,1352
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti de la Construction et du Progrès (PCP),57665,4717,895,330
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti de l’Unité et du Développement (PUD),57665,4717,895,303
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti des Masses Mauritaniennes (PMM),57665,4717,895,526
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti le centre par L’action et pour le Progres (LE CAP),57665,4717,895,194
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti «El Islah» (El Islah),57665,4717,895,667
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Parti «Ravah» (RAVAH),57665,4717,895,312
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Rassemblement National pour la Réforme et le Développement (Tewassoul),57665,4717,895,6791
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Rassemblement des Forces Démocratiques (RFD),57665,4717,895,471
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Sursaut de la Jeunesse pour la Nation (SJN),57665,4717,895,231
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Union des Forces de Progrès (UFP),57665,4717,895,537
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Union pour la Démocratie et le Progrès (UDP),57665,4717,895,303
2023,Législatives nationales,Nouakchott Sud,Arafat,Arafat,Union pour la Planification et la Construction (UPC),57665,4717,895,742
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Alliance Populaire Progressiste (APP),32122,3448,520,861
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),32122,3448,520,920
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,NIDA ELWATAN (NIDA ELWATAN),32122,3448,520,155
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti Alliance Nationale Démocratique (AND),32122,3448,520,275
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti EL INSAF,32122,3448,520,6855
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti EL VADILA (EL VADILA),32122,3448,520,273
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti El Karama (El Karama),32122,3448,520,179
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),32122,3448,520,1972
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti HIWAR,32122,3448,520,65
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti Mauritanien pour l'Union et le Changement (HATEM),32122,3448,520,219
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),32122,3448,520,142
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti Républicain pour la Démocratie et le Renouveau (PRDR),32122,3448,520,201
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti SAWAB (SAWAB),32122,3448,520,1209
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti de la Construction et du Progrès (PCP),32122,3448,520,136
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti de l’Unité et du Développement (PUD),32122,3448,520,110
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti des Masses Mauritaniennes (PMM),32122,3448,520,132
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti le centre par L’action et pour le Progres (LE CAP),32122,3448,520,130
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti «El Islah» (El Islah),32122,3448,520,609
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Parti «Ravah» (RAVAH),32122,3448,520,176
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Rassemblement National pour la Réforme et le Développement (Tewassoul),32122,3448,520,1676
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Rassemblement des Forces Démocratiques (RFD),32122,3448,520,134
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Sursaut de la Jeunesse pour la Nation (SJN),32122,3448,520,94
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Union des Forces de Progrès (UFP),32122,3448,520,434
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Union pour la Démocratie et le Progrès (UDP),32122,3448,520,729
2023,Législatives nationales,Nouakchott Sud,El Mina,El Mina,Union pour la Planification et la Construction (UPC),32122,3448,520,238
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Alliance Populaire Progressiste (APP),29580,3299,270,345
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),29580,3299,270,810
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,NIDA ELWATAN (NIDA ELWATAN),29580,3299,270,148
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti Alliance Nationale Démocratique (AND),29580,3299,270,235
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti EL INSAF,29580,3299,270,7098
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti EL VADILA (EL VADILA),29580,3299,270,98
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti El Karama (El Karama),29580,3299,270,341
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),29580,3299,270,2525
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti HIWAR,29580,3299,270,69
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti Mauritanien pour l'Union et le Changement (HATEM),29580,3299,270,298
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),29580,3299,270,148
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti Républicain pour la Démocratie et le Renouveau (PRDR),29580,3299,270,104
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti SAWAB (SAWAB),29580,3299,270,1302
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti de la Construction et du Progrès (PCP),29580,3299,270,124
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti de l’Unité et du Développement (PUD),29580,3299,270,153
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti des Masses Mauritaniennes (PMM),29580,3299,270,295
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti le centre par L’action et pour le Progres (LE CAP),29580,3299,270,159
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti «El Islah» (El Islah),29580,3299,270,197
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Parti «Ravah» (RAVAH),29580,3299,270,166
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Rassemblement National pour la Réforme et le Développement (Tewassoul),29580,3299,270,1289
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Rassemblement des Forces Démocratiques (RFD),29580,3299,270,141
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Sursaut de la Jeunesse pour la Nation (SJN),29580,3299,270,99
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Union des Forces de Progrès (UFP),29580,3299,270,334
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Union pour la Démocratie et le Progrès (UDP),29580,3299,270,213
2023,Législatives nationales,Nouakchott Sud,Riad,Riyad,Union pour la Planification et la Construction (UPC),29580,3299,270,215
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Alliance Populaire Progressiste (APP),1550,127,5,5
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),1550,127,5,0
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,NIDA ELWATAN (NIDA ELWATAN),1550,127,5,2
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti Alliance Nationale Démocratique (AND),1550,127,5,34
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti EL INSAF,1550,127,5,645
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti EL VADILA (EL VADILA),1550,127,5,5
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti El Karama (El Karama),1550,127,5,3
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),1550,127,5,17
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti HIWAR,1550,127,5,20
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti Mauritanien pour l'Union et le Changement (HATEM),1550,127,5,24
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),1550,127,5,23
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti Républicain pour la Démocratie et le Renouveau (PRDR),1550,127,5,16
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti SAWAB (SAWAB),1550,127,5,12
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti de la Construction et du Progrès (PCP),1550,127,5,1
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti de l’Unité et du Développement (PUD),1550,127,5,16
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti des Masses Mauritaniennes (PMM),1550,127,5,14
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti le centre par L’action et pour le Progres (LE CAP),1550,127,5,1
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti «El Islah» (El Islah),1550,127,5,16
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Parti «Ravah» (RAVAH),1550,127,5,31
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Rassemblement National pour la Réforme et le Développement (Tewassoul),1550,127,5,12
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Rassemblement des Forces Démocratiques (RFD),1550,127,5,10
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Sursaut de la Jeunesse pour la Nation (SJN),1550,127,5,40
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Union des Forces de Progrès (UFP),1550,127,5,95
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Union pour la Démocratie et le Progrès (UDP),1550,127,5,9
2023,Législatives nationales,Tagant,Moudjeria,Moudjeria,Union pour la Planification et la Construction (UPC),1550,127,5,17
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Alliance Populaire Progressiste (APP),12243,2881,75,23
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),12243,2881,75,7
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,NIDA ELWATAN (NIDA ELWATAN),12243,2881,75,39
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti Alliance Nationale Démocratique (AND),12243,2881,75,278
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti EL INSAF,12243,2881,75,3445
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti EL VADILA (EL VADILA),12243,2881,75,444
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti El Karama (El Karama),12243,2881,75,63
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),12243,2881,75,48
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti HIWAR,12243,2881,75,85
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti Mauritanien pour l'Union et le Changement (HATEM),12243,2881,75,63
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),12243,2881,75,22
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti Républicain pour la Démocratie et le Renouveau (PRDR),12243,2881,75,179
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti SAWAB (SAWAB),12243,2881,75,47
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti de la Construction et du Progrès (PCP),12243,2881,75,17
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti de l’Unité et du Développement (PUD),12243,2881,75,68
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti des Masses Mauritaniennes (PMM),12243,2881,75,107
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti le centre par L’action et pour le Progres (LE CAP),12243,2881,75,12
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti «El Islah» (El Islah),12243,2881,75,105
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Parti «Ravah» (RAVAH),12243,2881,75,252
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Rassemblement National pour la Réforme et le Développement (Tewassoul),12243,2881,75,449
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Rassemblement des Forces Démocratiques (RFD),12243,2881,75,53
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Sursaut de la Jeunesse pour la Nation (SJN),12243,2881,75,239
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Union des Forces de Progrès (UFP),12243,2881,75,128
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Union pour la Démocratie et le Progrès (UDP),12243,2881,75,10
2023,Législatives nationales,Tagant,Moudjeria,Soudoud,Union pour la Planification et la Construction (UPC),12243,2881,75,125
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Alliance Populaire Progressiste (APP),14431,1634,51,29
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),14431,1634,51,7
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,NIDA ELWATAN (NIDA ELWATAN),14431,1634,51,61
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti Alliance Nationale Démocratique (AND),14431,1634,51,163
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti EL INSAF,14431,1634,51,4179
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti EL VADILA (EL VADILA),14431,1634,51,28
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti El Karama (El Karama),14431,1634,51,12
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),14431,1634,51,26
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti HIWAR,14431,1634,51,39
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti Mauritanien pour l'Union et le Changement (HATEM),14431,1634,51,40
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),14431,1634,51,15
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti Républicain pour la Démocratie et le Renouveau (PRDR),14431,1634,51,158
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti SAWAB (SAWAB),14431,1634,51,82
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti de la Construction et du Progrès (PCP),14431,1634,51,67
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti de l’Unité et du Développement (PUD),14431,1634,51,97
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti des Masses Mauritaniennes (PMM),14431,1634,51,124
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti le centre par L’action et pour le Progres (LE CAP),14431,1634,51,7
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti «El Islah» (El Islah),14431,1634,51,74
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Parti «Ravah» (RAVAH),14431,1634,51,2816
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Rassemblement National pour la Réforme et le Développement (Tewassoul),14431,1634,51,286
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Rassemblement des Forces Démocratiques (RFD),14431,1634,51,232
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Sursaut de la Jeunesse pour la Nation (SJN),14431,1634,51,46
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Union des Forces de Progrès (UFP),14431,1634,51,43
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Union pour la Démocratie et le Progrès (UDP),14431,1634,51,21
2023,Législatives nationales,Tagant,Moudjeria,Tamourt Naaj,Union pour la Planification et la Construction (UPC),14431,1634,51,46
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Alliance Populaire Progressiste (APP),2713,855,13,6
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),2713,855,13,1
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,NIDA ELWATAN (NIDA ELWATAN),2713,855,13,17
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti Alliance Nationale Démocratique (AND),2713,855,13,12
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti EL INSAF,2713,855,13,172
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti EL VADILA (EL VADILA),2713,855,13,5
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti El Karama (El Karama),2713,855,13,14
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),2713,855,13,9
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti HIWAR,2713,855,13,4
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti Mauritanien pour l'Union et le Changement (HATEM),2713,855,13,75
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),2713,855,13,34
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti Républicain pour la Démocratie et le Renouveau (PRDR),2713,855,13,5
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti SAWAB (SAWAB),2713,855,13,5
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti de la Construction et du Progrès (PCP),2713,855,13,11
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti de l’Unité et du Développement (PUD),2713,855,13,350
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti des Masses Mauritaniennes (PMM),2713,855,13,6
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti le centre par L’action et pour le Progres (LE CAP),2713,855,13,2
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti «El Islah» (El Islah),2713,855,13,43
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Parti «Ravah» (RAVAH),2713,855,13,3
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Rassemblement National pour la Réforme et le Développement (Tewassoul),2713,855,13,148
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Rassemblement des Forces Démocratiques (RFD),2713,855,13,2
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Sursaut de la Jeunesse pour la Nation (SJN),2713,855,13,14
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Union des Forces de Progrès (UFP),2713,855,13,4
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Union pour la Démocratie et le Progrès (UDP),2713,855,13,1
2023,Législatives nationales,Tagant,Tichit,Lekhcheb,Union pour la Planification et la Construction (UPC),2713,855,13,16
2023,Législatives nationales,Tagant,Tichit,Tichit,Alliance Populaire Progressiste (APP),2256,934,16,2
2023,Législatives nationales,Tagant,Tichit,Tichit,Alliance pour la Justice et la Démocratie /Mouvement Pour la Rénovation (AJD/MR),2256,934,16,0
2023,Législatives nationales,Tagant,Tichit,Tichit,NIDA ELWATAN (NIDA ELWATAN),2256,934,16,5
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti Alliance Nationale Démocratique (AND),2256,934,16,8
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti EL INSAF,2256,934,16,496
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti EL VADILA (EL VADILA),2256,934,16,3
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti El Karama (El Karama),2256,934,16,2
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti Front Républicain pour l'Unité et la Démocratie (FRUD),2256,934,16,6
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti HIWAR,2256,934,16,33
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti Mauritanien pour l'Union et le Changement (HATEM),2256,934,16,30
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti Ribat National pour les Droits et la Construction des Générations (PRNDCG),2256,934,16,1
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti Républicain pour la Démocratie et le Renouveau (PRDR),2256,934,16,6
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti SAWAB (SAWAB),2256,934,16,0
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti de la Construction et du Progrès (PCP),2256,934,16,9
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti de l’Unité et du Développement (PUD),2256,934,16,6
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti des Masses Mauritaniennes (PMM),2256,934,16,20
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti le centre par L’action et pour le Progres (LE CAP),2256,934,16,2
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti «El Islah» (El Islah),2256,934,16,115
2023,Législatives nationales,Tagant,Tichit,Tichit,Parti «Ravah» (RAVAH),2256,934,16,5
2023,Législatives nationales,Tagant,Tichit,Tichit,Rassemblement National pour la Réforme et le Développement (Tewassoul),2256,934,16,184
